goal4_month1.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,1.0,1.0,1.0,1.0,0.0,0.0
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std,0.614,0.617,0.6,1.234,0.724,0.483,0.423
iqr,1.0,1.0,1.0,1.0,1.0,0.0,0.0
win,811,820,787,770,763,971,1004
goal9_month1.csv
25%,0.143,0.163,0.154,0.167,0.15,0.02,0.024
75%,0.518,0.583,0.5,0.661,0.588,0.28,0.296
median,0.3,0.349,0.282,0.344,0.319,0.083,0.107
std,0.929,0.922,0.724,1.475,1.081,0.397,0.37
iqr,0.375,0.42,0.347,0.494,0.438,0.26,0.272
win,556,487,575,513,535,967,945
goal1_month6.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.5,0.5,0.4,0.333,0.486,0.25,0.2
median,0.238,0.25,0.2,0.143,0.2,0.0,0.0
std,0.997,1.398,0.937,1.25,1.011,0.855,0.774
iqr,0.5,0.5,0.4,0.333,0.486,0.25,0.2
win,425,420,493,634,480,810,873
goal4_month6.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,1.0,1.0,1.0,1.0,0.0,0.0
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std,0.673,0.65,0.708,1.33,0.847,0.534,0.444
iqr,1.0,1.0,1.0,1.0,1.0,0.0,0.0
win,773,789,760,716,733,967,1000
goal1_month1.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.455,0.5,0.333,0.278,0.375,0.182,0.164
median,0.182,0.2,0.167,0.111,0.167,0.0,0.0
std,0.817,1.194,0.683,1.172,0.669,0.61,0.34
iqr,0.455,0.5,0.333,0.278,0.375,0.182,0.164
win,415,394,436,579,482,806,864
goal9_month6.csv
25%,0.156,0.194,0.167,0.183,0.167,0.028,0.032
75%,0.591,0.636,0.578,0.788,0.678,0.333,0.373
median,0.353,0.388,0.341,0.385,0.372,0.114,0.143
std,1.092,1.068,0.996,1.784,2.112,0.588,0.377
iqr,0.434,0.442,0.411,0.605,0.511,0.305,0.341
win,589,518,618,547,569,993,938
goal6_month1.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,1.0,1.0,1.0,1.0,0.5,0.5
median,0.368,0.333,0.462,0.333,0.5,0.0,0.0
std,1.129,0.998,1.149,1.522,1.321,0.791,0.601
iqr,1.0,1.0,1.0,1.0,1.0,0.5,0.5
win,501,530,468,578,511,795,826
goal3_month6.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.5,0.5,0.375,0.429,0.5,0.25,0.2
median,0.25,0.2,0.167,0.143,0.182,0.0,0.0
std,0.555,0.666,0.484,1.843,0.486,0.397,0.388
iqr,0.5,0.5,0.375,0.429,0.5,0.25,0.2
win,491,521,543,629,558,857,894
goal6_month6.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,1.0,1.0,1.0,1.0,0.5,0.5
median,0.5,0.474,0.5,0.467,0.5,0.0,0.0
std,1.209,1.14,1.367,1.696,1.567,0.936,0.757
iqr,1.0,1.0,1.0,1.0,1.0,0.5,0.5
win,497,530,467,562,502,794,830
goal3_month1.csv
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.4,0.5,0.333,0.333,0.429,0.167,0.143
median,0.19,0.167,0.143,0.074,0.158,0.0,0.0
std,0.5,0.579,0.425,1.856,0.408,0.371,0.347
iqr,0.4,0.5,0.333,0.333,0.429,0.167,0.143
win,537,554,580,667,577,909,921
goal5_month6.csv
25%,0.053,0.126,0.05,0.0,0.016,0.0,0.0
75%,0.64,0.907,0.5,0.4,0.5,0.3,0.333
median,0.308,0.44,0.216,0.122,0.217,0.04,0.05
std,3.597,7.27,2.747,1.288,3.776,3.55,2.269
iqr,0.586,0.782,0.45,0.4,0.484,0.3,0.333
win,410,325,491,710,522,824,777
goal0_month1.csv
25%,0.189,0.277,0.214,0.238,0.188,0.032,0.026
75%,1.5,2.41,1.441,2.0,1.25,0.625,0.597
median,0.5,0.667,0.5,0.7,0.5,0.182,0.167
std,8.231,15.081,9.216,46.634,11.506,7.812,2.767
iqr,1.311,2.132,1.227,1.762,1.062,0.592,0.571
win,540,419,526,447,568,896,934
goal8_month6.csv
25%,0.143,0.222,0.125,0.091,0.125,0.01,0.0
75%,0.545,0.748,0.5,0.446,0.554,0.292,0.279
median,0.299,0.447,0.25,0.22,0.286,0.087,0.078
std,1.216,3.031,1.074,1.46,0.92,1.756,0.669
iqr,0.402,0.526,0.375,0.355,0.43,0.282,0.279
win,462,312,544,656,519,884,901
goal5_month1.csv
25%,0.044,0.095,0.027,0.0,0.0,0.0,0.0
75%,0.571,0.75,0.429,0.333,0.5,0.222,0.25
